#ID	EPIC	SIZE	PLAT	DEPS	TITLE	ACCEPTANCE
E1	-	-	-	-	Foundation and CI	A repo where `dotnet test` passes on macOS and Windows, fixtures exist, and the dependency rule is enforced by a red build rather than by good intentions.
S1.1	E1	M	core	-	Solution and project scaffolding	Solution with Dmg.Core (net10.0), Dmg.Windows (net10.0-windows), Dmg.Cli (net10.0-windows) and three test projects|Directory.Build.props sets Nullable=enable, TreatWarningsAsErrors=true, InvariantGlobalization=true and the AOT analyzers|`dotnet build` succeeds on macOS with no warnings|Dmg.Core references nothing Windows-specific
S1.2	E1	S	core	S1.1	Result<T> and the error taxonomy	`Result<T>` struct with Ok/Value/Error|`DmgError` carrying an exit code, a message and optional detail|One enum member per exit code in CLI design section 2|Unit tests for the success and failure shapes
S1.3	E1	S	core	S1.1	Verbosity and output plumbing	`Verbosity` enum (Quiet, Normal, Verbose)|`IOutput` writing human text to stdout and diagnostics to stderr|No third-party logging package|`--json` mode never writes non-JSON to stdout
S1.4	E1	L	core	-	Fixture generator script	`tools/make-fixtures.sh` produces all eleven fixtures listed in testing strategy section 2 via hdiutil|Script is idempotent and safe to re-run|Encrypted fixtures use `-stdinpass` so the passphrase is never an argument|Documented passphrase for test fixtures
S1.5	E1	M	core	S1.4	Fixture manifest with ground-truth hashes	`fixtures/manifest.json` records SHA-256 of each fixture's fully decoded sector stream|Hashes taken from `hdiutil convert -format UDTO` output, not from our own decoder|A helper in the test project resolves a fixture by name and asserts its hash
S1.6	E1	M	ci	S1.1	CI workflows	`core` job on macos-latest running Dmg.Core.Tests|`windows` job on windows-latest running Core and Windows tests|`dependency-guard` job failing if any PackageReference exists under src/|All three required for merge
E2	-	-	-	-	UDIF container reader	Given a .dmg, produce a validated extent index. No chunk decoding yet.
S2.1	E2	S	core	S1.2	Big-endian reading helpers	Read u16/u32/u64 big-endian from `ReadOnlySpan<byte>` with bounds checks|All sector arithmetic in `checked` blocks|Overflow returns a Result failure, never wraps|Tests cover the boundary and overflow cases
S2.2	E2	M	core	S2.1	koly trailer parse and validation	Locate the trailer at filesize-512 and verify the `koly` magic|Validate HeaderSize == 512, XMLOffset+XMLLength within the file, DataForkOffset+DataForkLength within the file|Reject SectorCount that overflows when multiplied by 512|Bad magic produces exit code 3, not an exception
S2.3	E2	M	core	S2.1	Minimal XML property-list reader	Supports dict, array, key, string, data, integer|`DtdProcessing.Prohibit` set, so entity expansion attacks fail closed|XMLLength bounded before reading into memory|Test with the billion-laughs hostile fixture
S2.4	E2	S	core	S2.3	blkx extraction and base64 decode	Walk resource-fork then blkx and decode each Data payload|Strip whitespace and newlines before `Convert.FromBase64String`|Decoded size bounded before allocation|Returns one buffer per blkx entry in file order
S2.5	E2	M	core	S2.1	mish block header parse	Verify the `mish` magic and version|Read FirstSectorNumber, SectorCount, DataOffset and the chunk count|**Verify the chunk-table offset (documented as 0xCC) against a real fixture and correct docs/03 if it differs**|This is the field most likely to be wrong in the reference
S2.6	E2	M	core	S2.5	Chunk descriptor table parse	Parse 40-byte descriptors until the 0xFFFFFFFF terminator|Skip 0x7FFFFFFE comment entries|Chunk count bounded before allocating the array|Absolute sector computed as mish.FirstSectorNumber + chunk.SectorNumber, with a test that catches the relative/absolute confusion
S2.7	E2	M	core	S2.6	ExtentIndex with binary search	Flat sorted array of extents keyed by start sector|Binary search lookup|Validate the extents cover [0, koly.SectorCount) with no gaps and no overlaps|A gap or overlap is a corrupt image, exit 9
S2.8	E2	M	core	S2.2	Image format probe chain	`IImageFormatProbe` ordered: encrcdsa, UDIF, raw, unknown|Chain of responsibility, each probe declares whether it can open the stream|The unknown terminal names what it found rather than saying "not a DMG"|NDIF and sparsebundle detected and reported specifically
S2.9	E2	L	core	S2.7,S2.8	Hostile-input hardening pass over E2	Every malformed fixture in fixtures/hostile exits cleanly with a specific code|No unhandled exception, no hang, no allocation spike on any input|Covers truncation at every structural boundary, offsets past EOF, and lying lengths|Runs as part of Dmg.Core.Tests, therefore on macOS
E3	-	-	-	-	Chunk codecs	Decode every chunk type v1 supports, verified against Apple's own output rather than against ourselves.
S3.1	E3	S	core	S1.2	IChunkDecoder and the registry	`IChunkDecoder` with EntryType and `Decode(ReadOnlySpan<byte>, Span<byte>) -> Result<int>`|`Dictionary<uint, IChunkDecoder>` registry|Registry can report which EntryTypes an image uses and which are supported, without decoding
S3.2	E3	S	core	S3.1	Zero-fill and ignore decoders	EntryType 0x00000000 and 0x00000002 both emit zeros|No read from the data fork for either|Destination fully written
S3.3	E3	S	core	S3.1	Raw decoder	EntryType 0x00000001 copies directly|CompressedLength must equal SectorCount*512 or it is a corrupt chunk
S3.4	E3	M	core	S3.1	zlib decoder	EntryType 0x80000005 via `System.IO.Compression.ZLibStream`|No third-party package|Handles chunks that decompress to exactly the declared size and rejects any that do not
S3.5	E3	L	core	S3.1	Apple ADC decoder	EntryType 0x80000004, written from scratch per docs/03 section 6|Three token types: literal run, long match, short match|Overlapping back-references handled correctly (copy byte at a time)|Output pointer guarded on every write|Verified against the UDCO fixture
S3.6	E3	M	core	S3.4	Decompression-bomb guard	Output hard-capped at SectorCount*512, enforced once in the registry for all decoders|Overrun aborts with exit 9, never truncates silently|Test with a crafted chunk that inflates to 4 GiB
S3.7	E3	S	core	S3.1	Unsupported codecs report cleanly	bzip2, LZFSE and LZMA return a Result failure naming the codec|Exit code 3|`dmg info` still succeeds on such an image and lists the codec
